# name	probe-command	tier	install-hint
# Canonical dependency manifest for FOUNDRY. Columns are TAB-separated.
# Probe passes when the command exits 0. See PREREQUISITES/10-foundry.md.
git	command -v git	required	apt install git
bash	command -v bash	required	preinstalled on Linux/macOS
node	command -v node	recommended	install via Volta (PREREQUISITES/00-core.md)
npm	command -v npm	recommended	ships with node
jq	command -v jq	recommended	apt install jq
ripgrep	command -v rg	recommended	apt install ripgrep
cargo	command -v cargo	recommended	rustup (https://rustup.rs)
rust-analyzer	command -v rust-analyzer	recommended	rustup component add rust-analyzer
typescript-language-server	command -v typescript-language-server	recommended	npm i -g typescript-language-server typescript
pyright	command -v pyright-langserver || command -v pyright	recommended	npm i -g pyright (or uv tool install pyright)
pyright-lsp-capability	command -v pyright-langserver >/dev/null 2>&1 || exit 1; init='{"jsonrpc":"2.0","id":1,"method":"initialize","params":{"processId":null,"rootUri":null,"capabilities":{}}}'; { printf 'Content-Length: %d\r\n\r\n%s' "${#init}" "$init"; sleep 4; } | timeout 20 pyright-langserver --stdio 2>/dev/null | head -c 8000 | grep -q '"id":1'	optional	capability-grade LSP probe (no-download): JSON-RPC initialize handshake — presence of pyright-langserver is NOT enough
playwright-mcp	command -v npx	recommended	npm i -g @playwright/mcp (launched via npx)
context7-mcp	command -v npx	recommended	npx -y @upstash/context7-mcp (up-to-date, version-specific library docs — knowledge-parity for handlers)
gh	command -v gh	recommended	GitHub CLI (cli.github.com) — required by /foundry:pr-review for PR-number review and --post
playwright	command -v playwright || npx --no-install playwright --version	recommended	npm i -g playwright && npx playwright install chromium
chromium	npx --no-install playwright install --dry-run chromium 2>/dev/null || command -v chromium || command -v chromium-browser	recommended	npx playwright install --with-deps chromium
lldb	command -v lldb || command -v rust-lldb	recommended	apt install lldb
debugpy	python3 -c 'import debugpy'	recommended	uv tool install debugpy
gdb	command -v gdb	optional	apt install gdb
dx	command -v dx	optional	cargo install dioxus-cli --locked
zig	command -v zig	optional	ziglang.org/download (0.13.0)
cargo-zigbuild	command -v cargo-zigbuild	optional	cargo install cargo-zigbuild
vercel	command -v vercel	optional	npm i -g vercel
cargo-nextest	cargo nextest --version	optional	cargo install cargo-nextest
pytest	command -v pytest	optional	uv tool install pytest (per-project)
